|       pathname       |               function               |          callSite          |  destination   |             destinationLiteral             |         type          |   stripedType    | destinationSize |                                       location                                        |
| hw/usb/hcd-xhci.c    | xhci_configure_slot                  | call to xhci_dma_read_u32s | islot_ctx      | islot_ctx                                  | uint32_t[4]           | unsigned int     |              16 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2214:5:2214:22    |
| hw/usb/hcd-xhci.c    | xhci_configure_slot                  | call to xhci_dma_read_u32s | slot_ctx       | slot_ctx                                   | uint32_t[4]           | unsigned int     |              16 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2215:5:2215:22    |
| hw/usb/hcd-xhci.c    | xhci_configure_slot                  | call to xhci_dma_read_u32s | ep_ctx         | ep_ctx                                     | uint32_t[5]           | unsigned int     |              20 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2229:13:2229:30   |
| hw/usb/hcd-xhci.c    | xhci_evaluate_slot                   | call to xhci_dma_read_u32s | ictl_ctx       | ictl_ctx                                   | uint32_t[2]           | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2288:5:2288:22    |
| hw/usb/hcd-xhci.c    | xhci_evaluate_slot                   | call to xhci_dma_read_u32s | islot_ctx      | islot_ctx                                  | uint32_t[4]           | unsigned int     |              16 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2297:9:2297:26    |
| hw/usb/hcd-xhci.c    | xhci_evaluate_slot                   | call to xhci_dma_read_u32s | slot_ctx       | slot_ctx                                   | uint32_t[4]           | unsigned int     |              16 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2302:9:2302:26    |
| hw/usb/hcd-xhci.c    | xhci_evaluate_slot                   | call to xhci_dma_read_u32s | iep0_ctx       | iep0_ctx                                   | uint32_t[5]           | unsigned int     |              20 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2317:9:2317:26    |
| hw/usb/hcd-xhci.c    | xhci_evaluate_slot                   | call to xhci_dma_read_u32s | ep0_ctx        | ep0_ctx                                    | uint32_t[5]           | unsigned int     |              20 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2323:9:2323:26    |
| hw/usb/hcd-xhci.c    | xhci_reset_slot                      | call to xhci_dma_read_u32s | slot_ctx       | slot_ctx                                   | uint32_t[4]           | unsigned int     |              16 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:2356:5:2356:22    |
| hw/usb/hcd-xhci.c    | xhci_set_ep_state                    | call to xhci_dma_read_u32s | ctx            | ctx                                        | uint32_t[5]           | unsigned int     |              20 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:1019:5:1019:22    |
| hw/usb/hcd-xhci.c    | xhci_set_ep_state                    | call to xhci_dma_read_u32s | ctx2           | ctx2                                       | uint32_t[2]           | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:1027:13:1027:30   |
| hw/usb/hcd-xhci.c    | xhci_find_stream                     | call to xhci_dma_read_u32s | ctx            | ctx                                        | uint32_t[2]           | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:999:9:999:26      |
| hw/usb/hcd-xhci.c    | xhci_ring_chain_length               | call to dma_memory_read    | & ...          | &trb                                       | XHCITRB *             | XHCITRB          |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/usb/hcd-xhci.c:731:13:731:27     |
