|       pathname       |               function               |          callSite          |  destination   |             destinationLiteral             |         type          |   stripedType    | destinationSize |                                       location                                        |
| hw/net/eepro100.c    | action_command                       | call to pci_dma_read       | & ...          | &s->configuration.0                        | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:882:13:882:24     |
| hw/net/eepro100.c    | read_cb                              | call to pci_dma_read       | & ...          | &s->tx                                     | eepro100_tx_t *       | struct <unnamed> |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:730:5:730:16      |
| hw/net/eepro100.c    | set_multicast_list                   | call to pci_dma_read       | multicast_addr | multicast_addr                             | uint8_t[6]            | unsigned char    |               6 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:831:9:831:20      |
| hw/net/eepro100.c    | tx_command                           | call to pci_dma_read       | & ...          | &buf.size                                  | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:764:9:764:20      |
| hw/net/eepro100.c    | tx_command                           | call to pci_dma_read       | & ...          | &buf.size                                  | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:787:17:787:28     |
| hw/net/eepro100.c    | tx_command                           | call to pci_dma_read       | & ...          | &buf.size                                  | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:805:13:805:24     |
| hw/net/eepro100.c    | tx_command                           | call to ldl_le_pci_dma     | & ...          | &tx_buffer_address                         | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:779:17:779:30     |
| hw/net/eepro100.c    | tx_command                           | call to ldl_le_pci_dma     | & ...          | &tx_buffer_address                         | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:797:13:797:26     |
| hw/net/eepro100.c    | tx_command                           | call to lduw_le_pci_dma    | & ...          | &tx_buffer_size                            | uint16_t *            | unsigned short   |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:780:17:780:31     |
| hw/net/eepro100.c    | tx_command                           | call to lduw_le_pci_dma    | & ...          | &tx_buffer_el                              | uint16_t *            | unsigned short   |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:781:17:781:31     |
| hw/net/eepro100.c    | tx_command                           | call to lduw_le_pci_dma    | & ...          | &tx_buffer_size                            | uint16_t *            | unsigned short   |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:798:13:798:27     |
| hw/net/eepro100.c    | tx_command                           | call to lduw_le_pci_dma    | & ...          | &tx_buffer_el                              | uint16_t *            | unsigned short   |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/eepro100.c:799:13:799:27     |
| hw/net/pcnet-pci.c   | pci_physical_memory_read             | call to pci_dma_read       | buf            | buf                                        | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/pcnet-pci.c:178:5:178:16     |
| hw/net/pcnet.c       | pcnet_init                           | call to s->phys_mem_read   | & ...          | &initblk                                   | pcnet_initblk32 *     | pcnet_initblk32  |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/pcnet.c:780:9:781:56         |
| hw/net/pcnet.c       | pcnet_init                           | call to s->phys_mem_read   | & ...          | &initblk                                   | pcnet_initblk16 *     | pcnet_initblk16  |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/pcnet.c:796:9:797:56         |
| hw/net/pcnet.c       | pcnet_transmit                       | call to s->phys_mem_read   | ... + ...      | s->buffer+s->xmit_pos                      | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/pcnet.c:1238:9:1239:68       |
| hw/net/pcnet.c       | pcnet_tmd_load                       | call to s->phys_mem_read   | & ...          | &xda                                       | struct <unnamed> *    | struct <unnamed> |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/pcnet.c:308:9:308:75         |
| hw/net/pcnet.c       | pcnet_tmd_load                       | call to s->phys_mem_read   | tmd            | tmd                                        | pcnet_TMD *           | pcnet_TMD        |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/pcnet.c:315:9:315:75         |
| hw/net/pcnet.c       | pcnet_rmd_load                       | call to s->phys_mem_read   | & ...          | &rda                                       | struct <unnamed> *    | struct <unnamed> |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/pcnet.c:374:9:374:75         |
| hw/net/pcnet.c       | pcnet_rmd_load                       | call to s->phys_mem_read   | rmd            | rmd                                        | pcnet_RMD *           | pcnet_RMD        |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/pcnet.c:381:9:381:75         |
| hw/net/rtl8139.c     | rtl8139_transmit_one                 | call to pci_dma_read       | txbuffer       | txbuffer                                   | uint8_t[8192]         | unsigned char    |            8192 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/rtl8139.c:1839:5:1839:16     |
| hw/net/rtl8139.c     | rtl8139_cplus_transmit_one           | call to pci_dma_read       | & ...          | &val                                       | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/rtl8139.c:1915:5:1915:16     |
| hw/net/rtl8139.c     | rtl8139_cplus_transmit_one           | call to pci_dma_read       | & ...          | &val                                       | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/rtl8139.c:1917:5:1917:16     |
| hw/net/rtl8139.c     | rtl8139_cplus_transmit_one           | call to pci_dma_read       | & ...          | &val                                       | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/rtl8139.c:1919:5:1919:16     |
| hw/net/rtl8139.c     | rtl8139_cplus_transmit_one           | call to pci_dma_read       | & ...          | &val                                       | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/rtl8139.c:1921:5:1921:16     |
| hw/net/rtl8139.c     | rtl8139_cplus_transmit_one           | call to pci_dma_read       | ... + ...      | s->cplus_txbuffer+s->cplus_txbuffer_offset | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/rtl8139.c:2014:5:2014:16     |
| hw/net/rtl8139.c     | rtl8139_do_receive                   | call to pci_dma_read       | & ...          | &val                                       | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/rtl8139.c:988:9:988:20       |
| hw/net/rtl8139.c     | rtl8139_do_receive                   | call to pci_dma_read       | & ...          | &val                                       | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/rtl8139.c:990:9:990:20       |
| hw/net/rtl8139.c     | rtl8139_do_receive                   | call to pci_dma_read       | & ...          | &val                                       | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/rtl8139.c:992:9:992:20       |
| hw/net/rtl8139.c     | rtl8139_do_receive                   | call to pci_dma_read       | & ...          | &val                                       | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/net/rtl8139.c:994:9:994:20       |
| hw/scsi/megasas.c    | megasas_frame_get_context            | call to ldq_le_pci_dma     | & ...          | &val                                       | uint64_t *            | unsigned long    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/scsi/megasas.c:208:5:208:18      |
| hw/scsi/megasas.c    | megasas_enqueue_frame                | call to ldl_le_pci_dma     | & ...          | &s->reply_queue_tail                       | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/scsi/megasas.c:532:9:532:22      |
| hw/scsi/megasas.c    | megasas_enqueue_frame                | call to pci_dma_map        | frame          | cmd->frame                                 | mfi_frame *           | mfi_frame        |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/scsi/megasas.c:513:18:513:28     |
| hw/scsi/megasas.c    | megasas_enqueue_frame                | call to pci_dma_map        | & ...          | &frame_size_p                              | hwaddr *              | unsigned long    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/scsi/megasas.c:513:18:513:28     |
| hw/scsi/megasas.c    | megasas_complete_frame               | call to ldl_le_pci_dma     | & ...          | &s->reply_queue_tail                       | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/scsi/megasas.c:564:9:564:22      |
| hw/scsi/megasas.c    | megasas_complete_frame               | call to ldl_le_pci_dma     | & ...          | &s->reply_queue_tail                       | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/scsi/megasas.c:571:9:571:22      |
| hw/scsi/megasas.c    | megasas_init_firmware                | call to ldl_le_pci_dma     | & ...          | &s->reply_queue_head                       | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/scsi/megasas.c:675:5:675:18      |
| hw/scsi/megasas.c    | megasas_init_firmware                | call to ldl_le_pci_dma     | & ...          | &s->reply_queue_tail                       | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/scsi/megasas.c:677:5:677:18      |
| hw/scsi/megasas.c    | megasas_init_firmware                | call to pci_dma_map        | initq          | initq                                      | mfi_init_qinfo *      | mfi_init_qinfo   |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/scsi/megasas.c:652:13:652:23     |
| hw/scsi/megasas.c    | megasas_init_firmware                | call to pci_dma_map        | & ...          | &initq_size                                | hwaddr *              | unsigned long    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/scsi/megasas.c:652:13:652:23     |
| hw/sd/sdhci.c        | sdhci_sdma_transfer_multi_blocks     | call to dma_memory_read    | & ...          | &s->fifo_buffer.begin                      | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/sd/sdhci.c:640:13:640:27         |
| hw/sd/sdhci.c        | sdhci_sdma_transfer_single_block     | call to dma_memory_read    | fifo_buffer    | s->fifo_buffer                             | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/sd/sdhci.c:676:9:676:23          |
| hw/sd/sdhci.c        | sdhci_do_adma                        | call to dma_memory_read    | & ...          | &s->fifo_buffer.begin                      | uint8_t *             | unsigned char    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/sd/sdhci.c:824:27:824:41         |
| hw/sd/sdhci.c        | get_adma_description                 | call to dma_memory_read    | & ...          | &adma2                                     | uint64_t *            | unsigned long    |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/sd/sdhci.c:699:9:699:23          |
| hw/sd/sdhci.c        | get_adma_description                 | call to dma_memory_read    | & ...          | &adma1                                     | uint32_t *            | unsigned int     |               8 | file:///home/liuqiang/project-videzzo/qemu-codeql/hw/sd/sdhci.c:711:9:711:23          |
